wl,n
0.3,1.5527702636
0.322,1.5458699289
0.344,1.5404466868
0.366,1.5360905279
0.388,1.5325277322
0.41,1.5295687672
0.432,1.5270784291
0.454,1.5249578457
0.476,1.5231331738
0.498,1.5215482528
0.52,1.5201596882
0.542,1.5189334783
0.564,1.5178426479
0.586,1.5168655567
0.608,1.5159846692
0.63,1.5151856453
0.652,1.5144566605
0.674,1.5137878898
0.696,1.5131711118
0.718,1.5125994025
0.74,1.5120668949
0.762,1.51156859
0.784,1.5111002059
0.806,1.510658057
0.828,1.510238956
0.85,1.5098401349
0.872,1.50945918
0.894,1.5090939782
0.916,1.5087426727
0.938,1.5084036267
0.96,1.5080753919
0.982,1.5077566833
1.004,1.5074463569
1.026,1.5071433917
1.048,1.5068468736
1.07,1.5065559821
1.092,1.5062699788
1.114,1.5059881979
1.136,1.5057100371
1.158,1.5054349504
1.18,1.505162442
1.202,1.5048920604
1.224,1.5046233937
1.246,1.5043560653
1.268,1.5040897302
1.29,1.5038240717
1.312,1.5035587984
1.334,1.5032936418
1.356,1.5030283541
1.378,1.5027627059
1.4,1.5024964847
1.422,1.502229493
1.444,1.5019615474
1.466,1.5016924767
1.488,1.5014221212
1.51,1.5011503314
1.532,1.5008769674
1.554,1.5006018978
1.576,1.5003249991
1.598,1.5000461547
1.62,1.4997652549
1.642,1.4994821958
1.664,1.4991968791
1.686,1.4989092113
1.708,1.498619104
1.73,1.4983264724
1.752,1.4980312362
1.774,1.4977333184
1.796,1.4974326451
1.818,1.4971291458
1.84,1.4968227527
1.862,1.4965134002
1.884,1.4962010255
1.906,1.4958855678
1.928,1.4955669683
1.95,1.4952451699
1.972,1.4949201173
1.994,1.4945917568
2.016,1.494260036
2.038,1.4939249038
2.06,1.4935863104
2.082,1.4932442069
2.104,1.4928985456
2.126,1.4925492795
2.148,1.4921963626
2.17,1.4918397495
2.192,1.4914793955
2.214,1.4911152566
2.236,1.4907472892
2.258,1.4903754503
2.28,1.4899996971
2.302,1.4896199875
2.324,1.4892362795
2.346,1.4888485314
2.368,1.4884567018
2.39,1.4880607493
2.412,1.487660633
2.434,1.4872563118
2.456,1.4868477447
2.478,1.4864348909
2.5,1.4860177096
