wl(um),k
0.2066,1.786887721
0.210895083,1.829620791
0.215279458,1.873515202
0.219754982,1.918045045
0.224323549,1.962610703
0.228987094,2.006572009
0.23374759,2.049291647
0.238607055,2.090184469
0.243567544,2.128766764
0.248631159,2.164699036
0.253800044,2.197816706
0.259076386,2.228144968
0.26446242,2.255896472
0.269960426,2.281452898
0.275572732,2.305333448
0.281301715,2.3281545
0.2871498,2.350585111
0.293119462,2.373302734
0.29921323,2.396952758
0.305433684,2.422114469
0.311783457,2.449274954
0.318265237,2.47881165
0.32488177,2.510983497
0.331635856,2.545930172
0.338530356,2.583678476
0.345568188,2.624154584
0.352752332,2.66720054
0.360085829,2.712593173
0.367571786,2.760063513
0.37521337,2.809315036
0.383013819,2.860039398
0.390976433,2.911928941
0.399104586,2.964685737
0.407401718,3.018027448
0.415871341,3.071690525
0.424517043,3.125431441
0.433342484,3.179026594
0.4423514,3.232271476
0.451547605,3.284979542
0.460934994,3.336981091
0.470517541,3.388122349
0.480299302,3.438264851
0.490284421,3.487285145
0.500477123,3.535074772
0.510881726,3.581540489
0.521502634,3.626604629
0.532344343,3.670205521
0.543411445,3.712297898
0.554708625,3.752853199
0.566240666,3.791859716
0.578012451,3.829322545
0.590028964,3.865263298
0.602295292,3.899719586
0.61481663,3.932744254
0.627598279,3.964404411
0.640645649,3.994780261
0.653964267,4.023963788
0.66755977,4.052057329
0.681437915,4.079172079
0.695604578,4.105426571
0.710065756,4.130945173
0.724827574,4.155856631
0.73989628,4.180292698
0.755278255,4.204386862
0.770980012,4.228273202
0.787008198,4.252085381
0.8033696,4.275955772
0.820071146,4.300014741
0.837119906,4.324390061
0.854523099,4.349206467
0.872288093,4.374585339
0.89042241,4.4006445
0.908933728,4.42749812
0.927829885,4.455256711
0.947118881,4.484027203
0.966808882,4.513913087
0.986908227,4.545014611
1.007425424,4.577429017
1.028369161,4.611250812
1.049748305,4.646572052
1.071571907,4.68348265
1.093849209,4.722070668
1.116589641,4.762422615
1.139802833,4.804623728
1.163498612,4.848758223
1.187687011,4.894909536
1.212378272,4.94316051
1.237582849,4.993593558
1.263311413,5.046290781
1.289574857,5.101334032
1.316384302,5.158804939
1.343751098,5.218784874
1.371686833,5.28135487
1.400203333,5.346595483
1.429312674,5.414586615
1.45902718,5.485407285
1.489359431,5.559135362
1.520322271,5.635847272
1.551928808,5.715617686
1.584192425,5.798519194
1.617126783,5.884621995
1.650745825,5.973993599
1.685063785,6.066698569
1.720095194,6.162798312
1.755854884,6.262350934
1.792357996,6.365411163
1.829619984,6.472030362
1.867656625,6.582256612
1.906484023,6.696134897
1.946118619,6.813707355
1.986577193,6.935013608
2.027876875,7.060091154
2.070035151,7.188975805
2.113069871,7.32170216
2.156999256,7.458304099
2.201841905,7.59881527
2.247616804,7.743269579
2.294343334,7.891701649
2.342041279,8.044147245
2.390730835,8.200643666
2.440432615,8.361230085
2.491167664,8.525947845
2.542957462,8.694840704
2.595823938,8.867955036
2.649789474,9.045339984
2.70487692,9.227047573
2.761109598,9.413132782
2.818511318,9.60365359
2.877106384,9.798670988
2.936919604,9.998248967
2.997976303,10.20245449
3.060302332,10.41135744
3.12392408,10.62503059
3.188868484,10.84354949
3.255163041,11.06699242
3.322835819,11.29544034
3.391915472,11.52897677
3.462431247,11.76768773
3.534413001,12.01166166
3.607891209,12.26098935
3.682896983,12.51576387
3.759462079,12.77608048
3.837618916,13.0420366
3.917400583,13.31373173
3.998840861,13.59126736
4.08197423,13.87474697
4.16683589,14.16427595
4.25346177,14.45996153
4.341888547,14.76191279
4.432153661,15.07024055
4.524295329,15.38505736
4.618352565,15.70647747
4.71436519,16.03461676
4.812373858,16.36959271
4.912420063,16.71152438
5.014546166,17.06053232
5.118795406,17.41673857
5.225211921,17.78026663
5.333840769,18.15124136
5.444727941,18.52978895
5.557920388,18.91603693
5.673466033,19.31011402
5.7914138,19.71215015
5.911813626,20.12227637
6.034716488,20.54062478
6.160174423,20.96732849
6.288240549,21.40252152
6.418969089,21.84633874
6.552415392,22.29891578
6.688635959,22.76038894
6.827688466,23.23089513
6.969631786,23.71057172
7.114526018,24.19955649
7.262432509,24.69798747
7.413413883,25.20600286
7.567534063,25.72374092
7.724858305,26.2513398
7.885453218,26.78893743
8.049386798,27.3366714
8.216728453,27.89467877
8.387549035,28.46309597
8.561920869,29.04205859
8.739917783,29.63170127
8.92161514,30.23215748
9.107089869,30.84355937
9.296420502,31.46603762
9.489687198,32.09972119
9.686971786,32.74473717
9.888357796,33.40121061
10.09393049,34.06926425
10.30377692,34.7490184
10.51798592,35.44059068
10.73664818,36.14409583
10.9598563,36.85964552
11.18770477,37.58734809
11.42029007,38.32730841
11.65771067,39.07962762
11.9000671,39.84440292
12.14746196,40.62172741
12.4,41.41168983
