wl(um),n
0.2066,0.889512197
0.210895083,0.9024153
0.215279458,0.918071331
0.219754982,0.936717299
0.224323549,0.958465988
0.228987094,0.983279509
0.23374759,1.010953549
0.238607055,1.041116455
0.243567544,1.073245144
0.248631159,1.106697126
0.253800044,1.140755337
0.259076386,1.174680544
0.26446242,1.207765226
0.269960426,1.23938304
0.275572732,1.269029103
0.281301715,1.296347989
0.2871498,1.321148185
0.293119462,1.343403371
0.29921323,1.363242167
0.305433684,1.380928731
0.311783457,1.396836909
0.318265237,1.4114206
0.32488177,1.425182777
0.331635856,1.43864533
0.338530356,1.452321582
0.345568188,1.46669301
0.352752332,1.482191294
0.360085829,1.499186316
0.367571786,1.51798009
0.37521337,1.538806031
0.383013819,1.561832459
0.390976433,1.587169004
0.399104586,1.61487454
0.407401718,1.644965482
0.415871341,1.677423596
0.424517043,1.71220278
0.433342484,1.749234611
0.4423514,1.788432625
0.451547605,1.829695488
0.460934994,1.872909254
0.470517541,1.917948955
0.480299302,1.96467974
0.490284421,2.012957769
0.500477123,2.062631022
0.510881726,2.113540135
0.521502634,2.165519352
0.532344343,2.218397636
0.543411445,2.271999955
0.554708625,2.326148719
0.566240666,2.380665364
0.578012451,2.435372006
0.590028964,2.490093139
0.602295292,2.544657308
0.61481663,2.598898707
0.627598279,2.652658649
0.640645649,2.705786872
0.653964267,2.758142654
0.66755977,2.809595697
0.681437915,2.860026795
0.695604578,2.909328257
0.710065756,2.957404119
0.724827574,3.00417014
0.73989628,3.049553611
0.755278255,3.093492996
0.770980012,3.135937441
0.787008198,3.176846163
0.8033696,3.216187765
0.820071146,3.253939484
0.837119906,3.290086412
0.854523099,3.324620703
0.872288093,3.357540785
0.89042241,3.388850601
0.908933728,3.418558883
0.927829885,3.446678475
0.947118881,3.473225712
0.966808882,3.498219859
0.986908227,3.521682621
1.007425424,3.543637713
1.028369161,3.564110504
1.049748305,3.583127728
1.071571907,3.600717259
1.093849209,3.616907945
1.116589641,3.631729513
1.139802833,3.64521252
1.163498612,3.657388356
1.187687011,3.6682893
1.212378272,3.677948608
1.237582849,3.686400639
1.263311413,3.693681009
1.289574857,3.699826764
1.316384302,3.704876564
1.343751098,3.708870871
1.371686833,3.711852132
1.400203333,3.713864943
1.429312674,3.714956193
1.45902718,3.715175163
1.489359431,3.714573596
1.520322271,3.713205693
1.551928808,3.711128067
1.584192425,3.708399621
1.617126783,3.705081357
1.650745825,3.701236122
1.685063785,3.696928283
1.720095194,3.692223345
1.755854884,3.687187521
1.792357996,3.681887264
1.829619984,3.676388777
1.867656625,3.670757524
1.906484023,3.665057744
1.946118619,3.659352007
1.986577193,3.653700806
2.027876875,3.648162209
2.070035151,3.642791584
2.113069871,3.63764139
2.156999256,3.632761055
2.201841905,3.628196924
2.247616804,3.623992281
2.294343334,3.620187444
2.342041279,3.61681991
2.390730835,3.613924558
2.440432615,3.611533884
2.491167664,3.609678269
2.542957462,3.608386273
2.595823938,3.607684927
2.649789474,3.607600038
2.70487692,3.608156493
2.761109598,3.609378547
2.818511318,3.611290105
2.877106384,3.613914984
2.936919604,3.617277166
2.997976303,3.621401023
3.060302332,3.62631153
3.12392408,3.632034457
3.188868484,3.638596547
3.255163041,3.646025669
3.322835819,3.654350967
3.391915472,3.663602981
3.462431247,3.673813771
3.534413001,3.685017016
3.607891209,3.697248107
3.682896983,3.710544238
3.759462079,3.72494448
3.837618916,3.740489859
3.917400583,3.757223414
3.998840861,3.775190273
4.08197423,3.794437702
4.16683589,3.815015175
4.25346177,3.836974422
4.341888547,3.860369491
4.432153661,3.885256804
4.524295329,3.911695212
4.618352565,3.939746054
4.71436519,3.969473215
4.812373858,4.000943189
4.912420063,4.034225135
5.014546166,4.069390942
5.118795406,4.106515298
5.225211921,4.145675748
5.333840769,4.186952771
5.444727941,4.230429844
5.557920388,4.276193514
5.673466033,4.324333476
5.7914138,4.374942639
5.911813626,4.42811721
6.034716488,4.483956764
6.160174423,4.542564326
6.288240549,4.604046448
6.418969089,4.668513283
6.552415392,4.73607867
6.688635959,4.806860208
6.827688466,4.880979333
6.969631786,4.958561397
7.114526018,5.03973574
7.262432509,5.124635766
7.413413883,5.213399012
7.567534063,5.306167219
7.724858305,5.403086397
7.885453218,5.504306886
8.049386798,5.609983415
8.216728453,5.720275159
8.387549035,5.835345785
8.561920869,5.955363498
8.739917783,6.080501078
8.92161514,6.210935913
9.107089869,6.346850025
9.296420502,6.488430087
9.489687198,6.635867434
9.686971786,6.789358063
9.888357796,6.949102629
10.09393049,7.115306428
10.30377692,7.28817937
10.51798592,7.467935946
10.73664818,7.654795177
10.9598563,7.848980563
11.18770477,8.050720009
11.42029007,8.26024575
11.65771067,8.477794254
11.9000671,8.703606124
12.14746196,8.937925978
12.4,9.181002322
