wl(um),k
0.4050,0
0.4193,0
0.4341,0
0.4494,0
0.4653,0
0.4817,0
0.4987,0
0.5163,0
0.5345,0
0.5534,0
0.5729,0
0.5932,0
0.6141,0
0.6358,0
0.6582,0
0.6814,0
0.7055,0
0.7304,0
0.7562,0
0.7829,0
0.8105,0
0.8391,0
0.8687,0
0.8994,0
0.9311,0
0.9640,0
0.9980,0
1.033,0
1.070,0
1.107,0
1.147,0
1.187,0
1.229,0
1.272,0
1.317,0
1.364,0
1.412,0
1.462,0
1.513,0
1.567,0
1.622,0
1.679,0
1.739,0
1.800,0
1.863,0
1.929,0
1.997,0
2.068,0
2.141,0
2.216,0
2.295,0
2.376,0
2.459,0
2.546,0
2.636,0
2.729,0
2.825,0
2.925,0
3.028,0
3.135,0
3.246,0
3.361,0
3.479,0
3.602,0
3.729,0
3.861,0
3.997,0
4.138,0
4.284,0
4.435,0
4.592,0
4.754,0
4.922,0
5.096,0
5.275,0
5.462,0
5.654,0
5.854,0
6.061,0
6.275,0
6.496,0
6.725,0
6.963,0
7.208,0
7.463,0
7.726,0
7.999,0
8.281,0
8.574,0
8.876,0
9.190,0
9.514,0
9.850,0
10.20,0
10.56,0
10.93,0
11.32,0
11.72,0
12.13,0
12.56,0
13.00,0
