wl(um),n
0.2066,1.2522332082
0.2108950832,1.2886050167
0.2152794584,1.3205398635
0.2197549821,1.3488833625
0.224323549,1.3746284289
0.2289870936,1.3988261142
0.2337475903,1.422485501
0.2386070547,1.4464756204
0.2435675442,1.4714431288
0.2486311593,1.4977566889
0.2538000437,1.5254834111
0.2590763859,1.5543962912
0.2644624199,1.5840063932
0.2699604262,1.6136108117
0.2755727325,1.6423473309
0.2813017151,1.6692485833
0.2871497997,1.6932916613
0.2931194622,1.71344306
0.2992132302,1.7287031661
0.3054336838,1.7381586456
0.3117834567,1.741053695
0.3182652374,1.73689001
0.3248817702,1.7255577949
0.3316358565,1.7074840795
0.3385303559,1.6837605099
0.3455681877,1.6561869611
0.3527523315,1.6271556387
0.3600858291,1.5993263363
0.3675717855,1.5751208198
0.3752133702,1.5561662549
0.3830138186,1.5428732988
0.3909764334,1.5342880299
0.3991045859,1.5282356392
0.4074017175,1.5216660278
0.4158713413,1.5110762108
0.4245170432,1.4929122606
0.4333424837,1.4639038179
0.4423513996,1.4213287413
0.4515476051,1.3632372234
0.4609349939,1.2886853064
0.4705175406,1.1980312816
0.4802993023,1.0933056197
0.4902844207,0.9785231659
0.5004771234,0.8595750635
0.5108817259,0.7432888821
0.5215026335,0.635790656
0.5323443431,0.5410933501
0.5434114449,0.4607391554
0.5547086248,0.3943739182
0.5662406659,0.3405930248
0.5780124508,0.2976056028
0.5900289637,0.2636210572
0.6022952923,0.2370280091
0.6148166301,0.2164538353
0.6275982785,0.2007654748
0.6406456494,0.1890453416
0.6539642668,0.1805592808
0.6675597698,0.1747243908
0.6814379148,0.1710799794
0.6956045776,0.1692627284
0.7100657563,0.1689861321
0.7248275738,0.1700238372
0.7398962801,0.1721963538
0.7552782553,0.1753605823
0.770980012,0.179401637
0.7870081983,0.184226512
0.8033696005,0.189759203
0.8200711458,0.1959369687
0.8371199057,0.2027074754
0.8545230985,0.2100266216
0.8722880927,0.217856883
0.8904224098,0.2261660544
0.908933728,0.2349262936
0.9278298847,0.2441133942
0.9471188805,0.2537062323
0.9668088824,0.2636863451
0.9869082269,0.2740376092
1.0074254241,0.2847459955
1.0283691608,0.2957993818
1.0497483045,0.3071874097
1.0715719071,0.3189013744
1.0938492086,0.3309341418
1.116589641,0.3432800834
1.1398028327,0.3559350278
1.1634986119,0.368896223
1.1876870114,0.3821623073
1.2123782724,0.3957332875
1.237582849,0.4096105218
1.2633114129,0.4237967071
1.2895748573,0.4382958688
1.316384302,0.4531133538
1.3437510982,0.4682558246
1.3716868327,0.483731256
1.4002033335,0.4995489323
1.4293126742,0.5157194466
1.4590271797,0.5322547005
1.489359431,0.549167906
1.5203222706,0.5664735878
1.551928808,0.5841875876
1.5841924253,0.6023270691
1.6171267828,0.6209105252
1.6507458247,0.6399577862
1.6850637852,0.6594900305
1.7200951944,0.6795297957
1.7558548844,0.7001009936
1.7923579957,0.7212289252
1.8296199836,0.7429402995
1.8676566246,0.7652632533
1.9064840233,0.7882273745
1.9461186191,0.8118637266
1.9865771929,0.8362048764
2.027876875,0.8612849246
2.0700351512,0.8871395381
2.1130698714,0.913805986
2.1569992561,0.9413231776
2.2018419049,0.9697317035
2.247616804,0.99907388
2.2943433343,1.029393796
2.3420412795,1.0607373625
2.3907308348,1.0931523662
2.4404326152,1.1266885249
2.4911676641,1.1613975472
2.5429574625,1.1973331941
2.595823938,1.2345513447
2.6497894741,1.2731100644
2.7048769196,1.3130696767
2.7611095981,1.3544928382
2.8185113185,1.3974446162
2.8771063842,1.4419925702
2.9369196043,1.4882068365
2.9979763033,1.5361602152
3.0603023325,1.5859282619
3.1239240803,1.6375893813
3.188868484,1.6912249245
3.2551630407,1.7469192892
3.3228358193,1.8047600238
3.3919154721,1.8648379336
3.4624312472,1.9272471906
3.5344130005,1.9920854462
3.607891209,2.0594539469
3.6828969828,2.1294576528
3.7594620793,2.2022053588
3.8376189156,2.2778098186
3.917400583,2.3563878714
3.9988408608,2.4380605705
4.0819742304,2.5229533148
4.1668358901,2.6111959817
4.25346177,2.702923063
4.3418885471,2.7982738011
4.4321536609,2.897392328
4.5242953292,3.000427804
4.6183525645,3.1075345593
4.7143651902,3.218872234
4.8123738576,3.3346059198
4.9124200631,3.4549063009
5.0145461659,3.5799497948
5.1187954057,3.709918691
5.2252119211,3.8450012896
5.3338407686,3.9853920363
5.444727941,4.1312916558
5.5579203875,4.2829072813
5.6734660334,4.4404525801
5.7914138,4.6041478744
5.911813626,4.7742202567
6.0347164882,4.9509036985
6.1601744231,5.134439152
6.288240549,5.3250746438
6.4189690885,5.5230653585
6.5524153917,5.728673713
6.6886359589,5.9421694191
6.8276884656,6.1638295332
6.9696317858,6.3939384928
7.1145260177,6.6327881373
7.262432509,6.8806777138
7.4134138826,7.1379138633
7.5675340634,7.4048105897
7.7248583051,7.6816892069
7.8854532182,7.9688782652
8.0493867979,8.266713453
8.2167284529,8.5755374748
8.387549035,8.8956999019
8.5619208687,9.2275569959
8.7399177826,9.5714715023
8.9216151395,9.927812414
9.1070898695,10.296954702
9.2964205017,10.6792790132
9.4896871978,11.0751713331
9.6869717862,11.4850226129
9.8883577962,11.9092283598
10.0939304939,12.3481881894
10.3037769178,12.8023053398
10.517985916,13.2719861468
10.7366481837,13.7576394791
10.9598563014,14.2596761352
11.1877047746,14.7785082
11.4202900733,15.3145483628
11.6577106731,15.8682091977
11.9000670968,16.4399024059
12.1474619572,17.0300380225
12.4,17.6390235898
